threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.9,0.798614898025957,0.9665985003408316,0.618606172974152,0.7544057990290617,0.021376376922237976,8973,196,3497,5672,42
0.95,0.7297960519140583,0.9823717948717948,0.46798996619042427,0.6339661668020979,0.008397862362307777,9092,77,4878,4291,42
0.05,0.7524811866070454,0.6708991584231507,0.9911658850474425,0.8001760950913493,0.48620351183335153,4711,4458,81,9088,43
0.1,0.8117024757334497,0.7323199479759389,0.9825498963900098,0.8391784267151041,0.3591449449231105,5876,3293,160,9009,43
0.15,0.840386083542371,0.768912631397553,0.9732795288472025,0.8591095066185319,0.29250736176246045,6487,2682,245,8924,43
0.2,0.8594176027920166,0.7965445874201386,0.965426982222707,0.872892219702199,0.2465917766386738,6908,2261,317,8852,43
0.25,0.8701603228269168,0.8169592827792305,0.9540844148762133,0.8802133118679881,0.21376376922237975,7209,1960,421,8748,43
0.3,0.8771403642709129,0.8326919376563402,0.9439415421529065,0.8848336144763073,0.1896608136110808,7430,1739,514,8655,43
0.35,0.8820482059112226,0.8471754212091179,0.9322717853637256,0.8876888727348253,0.1681753735412804,7627,1542,621,8548,43
0.4,0.8860835423710328,0.8611507855539686,0.9206020285745447,0.8898845606451953,0.14843494383247902,7808,1361,728,8441,43
0.45,0.887610426436907,0.8726148039421262,0.9077325771621769,0.8898273373603464,0.13251172428836297,7954,1215,846,8323,43
0.5,0.8880466790271567,0.8844823859952453,0.8926818627985603,0.888563209032188,0.11658850474424692,8100,1069,984,8185,43
0.55,0.8865743265350639,0.8947544269963248,0.8762133275166322,0.8853868194842407,0.10306467444650452,8224,945,1135,8034,43
0.6,0.8848293161740648,0.9055281002183657,0.8593085396444541,0.8818130945719083,0.08964990729632458,8347,822,1290,7879,43
0.65,0.8806303849929109,0.9151796335950512,0.8390227941978405,0.8754480796586059,0.07776202421201876,8456,713,1476,7693,43
0.7,0.875177227614789,0.9258479821738054,0.8156832806194787,0.8672812663071838,0.06532882538990076,8570,599,1690,7479,43
0.75,0.8667248336787,0.9348247769300401,0.788417493728869,0.8554017276062005,0.05496782637146908,8665,504,1940,7229,43
0.8,0.8545097611517068,0.9463133324179597,0.7516632130003272,0.837831266715293,0.04264369069691351,8778,391,2277,6892,43
0.85,0.8331879158032501,0.9550193625260649,0.6993129021703567,0.8074041427941825,0.032937070563856474,8867,302,2757,6412,43
0.9,0.7987784927473007,0.9678906917164817,0.6180608572363399,0.7543929712460063,0.020503871741738466,8981,188,3502,5667,43
0.95,0.727014941651216,0.9835075493612079,0.46177336677936526,0.6284696452426897,0.007743483476933145,9098,71,4935,4234,43
0.05,0.7456647398843931,0.6651514040618813,0.9894208746864435,0.7955103472465801,0.4980913949176573,4602,4567,97,9072,44
0.1,0.8029774239284546,0.724140713248346,0.9788417493728869,0.8324444650558828,0.37288690151597775,5750,3419,194,8975,44
0.15,0.8322063474751882,0.7604754574995725,0.9698985712727669,0.8525140200354695,0.30548587632239066,6368,2801,276,8893,44
0.2,0.8503653615443342,0.7870610311857743,0.9606282037299596,0.8652259332023575,0.2598974806412913,6786,2383,361,8808,44
0.25,0.8618715236121715,0.8075069508804449,0.9502672047115279,0.873089834160028,0.22652415748718507,7092,2077,456,8713,44
0.3,0.86896062820373,0.8236081882533002,0.9390337005125968,0.8775416602965908,0.20111244410513687,7325,1844,559,8610,44
0.35,0.8757770749263823,0.8400276324879108,0.9283455120514778,0.8819811418505854,0.17679136219871305,7548,1621,657,8512,44
0.4,0.8808485112880358,0.854301948051948,0.9183117024757335,0.8851511169513797,0.1566146798996619,7733,1436,749,8420,44
0.45,0.8829752426655033,0.8662772504433086,0.905769440506053,0.8855832800170612,0.13981895517504636,7887,1282,864,8305,44
0.5,0.8835750899770968,0.8785791173304629,0.8901734104046243,0.8843382631778536,0.1230232304504308,8041,1128,1007,8162,44
0.55,0.8834660268295343,0.8890241203806152,0.8763223906641946,0.8826275608282529,0.10939033700512597,8166,1003,1134,8035,44
0.6,0.8817755480423165,0.8999200274191705,0.8590904133493292,0.8790313581073541,0.09553931726469626,8293,876,1292,7877,44
0.65,0.878667248336787,0.9105960264900662,0.8397862362307776,0.873758865248227,0.08245173955720363,8413,756,1469,7700,44
